<?xml version="1.0"?>
FILENAME       COMMENT
./csm_applications/components/trunk     PR# CBS00039991 o Moved Maven 3 trunk into its new home as discussed in http://www.mail-archive.com/dev@maven.apache.org/msg81311.html
./csm_applications/maven-3/trunk     PR# CBS00039991 o Moved Maven 3 trunk into its new home as discussed in http://www.mail-archive.com/dev@maven.apache.org/msg81311.html
./csm_applications/components/branches/MNG-2766     PR# CBS00039991 o swapping the branch to trunk

./csm_applications/components/trunk     PR# CBS00039991 o swapping the branch to trunk

./csm_applications/components/branches/MNG-2766     PR# CBS00039991 o making a branch for for the lifecycle executor refactor

./csm_applications/components/trunk/src/site/site.xml     PR# CBS00039991 o bump to maven-stylus-skin:1.1
./csm_applications/components/trunk/src/site/site.xml     PR# CBS00039991 o merged r728997 
./csm_applications/components/trunk/maven-compat/src/test/resources/org/apache/maven/artifact/resolver/ArtifactUpdatePolicyTest.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/java/org/apache/maven/project/harness/PomTestWrapper.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/projects/enforcer/enforcer-api/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-compat/src/test/resources/org/apache/maven/artifact/manager/DefaultWagonManagerTest.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-plugin-api/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources/project-dynamism/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/resources/test.txt     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-compat/src/main/java/org/apache/maven/project/ProjectUtils.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources/project-dynamism/plugin-level-dep.pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-distribution/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources/project-dynamism/pom-relative.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-toolchain/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-compat/src/main/java/org/apache/maven/project/MissingRepositoryElementException.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources-project-builder/nexus/nexus-test-harness-launcher/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-core/src/main/java/org/apache/maven/listeners/MavenModelEventListener.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources-project-builder/single-test-poms/pluginDependencies.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-lifecycle/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-model/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/java/org/apache/maven/project/builder/DefaultDomainModelFactory.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources/project-dynamism/pom-interp.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-embedder/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/java/org/apache/maven/project/builder/DefaultDomainModel.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources-project-builder/nexus/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-compat/src/main/mdo/metadata.mdo     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-compat/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-reporting-api/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/main/java/org/apache/maven/project/builder/Interpolator.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-mercury/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project/src/test/resources-project-builder/nexus/nexus-test-harness-parent/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/projects/enforcer/enforcer-rules/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-core/src/main/java/org/apache/maven/listeners/MavenModelEventProcessor.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/pom.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/java/org/apache/maven/project/builder/PluginSpecTest.java     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-core/src/site/site.xml     PR# CBS00039991 o Fixed svn:keywords
./csm_applications/components/trunk/maven-project-builder/src/test/projects/enforcer/pom.xml     PR# CBS00039991 o Fixed svn:keywords
